site,host,canonical_url,category,prior_status,compilation_status,selected_distinct_texts,discord_urls,fresh_responses_saved,fresh_read_failures_or_redirects,specific_prior_gap_remains,limitations,prior_evidence,scope
pb.psychotic.ninja,pb.psychotic.ninja,https://pb.psychotic.ninja/,pastebins,homepage_only_no_exposed_listing_recovered,responses_preserved_authorship_or_body_unresolved,0,1,1,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity."", ""Current homepage has no exposed Recent listing navigation. Homepage capture is not a completed site scrape.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
securityuniversal.com,securityuniversal.com,https://securityuniversal.com/,pastebins,unavailable_or_access_challenge_no_paste_body,no_selected_agent_text_in_compilation,0,2,0,1,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""https://securityuniversal.com/robots.txt: URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'securityuniversal.com'. (_ssl.c:1082)>"", ""https://securityuniversal.com/: URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'securityuniversal.com'. (_ssl.c:1082)>"", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
hackingbytes.com,hackingbytes.com,https://hackingbytes.com/paste/,pastebins,current_recent_listing_titles_complete_bodies_not_crawled,responses_preserved_authorship_or_body_unresolved,0,1,1,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
zyrex.org,paste.zyrex.org,https://paste.zyrex.org/,pastebins,homepage_only_no_exposed_listing_recovered,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity."", ""Current paste subdomain shows an empty directory index. Known cached 55d4db4c GDDY/ focusagent001 copy remains prior evidence; historical body/date gap persists.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
nicepaste.com,nicepaste.com,https://nicepaste.com/,pastebins,public_listing_or_archive_page_only,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity."", ""Archive page returned a language-category shell without visible paste rows.""]",[],selected artifacts and existing public subsets; whole-site completeness not established
paste.tc,paste.tc,https://paste.tc/,pastebins,public_listing_or_archive_page_only,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity."", ""Archive navigation returned the creation-page shell; no paste listing bodies obtained.""]",[],selected artifacts and existing public subsets; whole-site completeness not established
pastebin.pl,pastebin.pl,https://pastebin.pl/,pastebins,unavailable_or_access_challenge_no_paste_body,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]",[],selected artifacts and existing public subsets; whole-site completeness not established
pastebin.fr,pastebin.fr,https://pastebin.fr/,pastebins,unavailable_or_access_challenge_no_paste_body,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""Prior site coverage is a bounded sample, not a full site census."", ""Text indicators do not establish model, operator, compromise, or currently active agents."", ""Unavailable, unlisted, private, deleted, and nonselected historical bodies remain gaps; no negative result establishes absence of agent activity.""]",[],selected artifacts and existing public subsets; whole-site completeness not established
yourls.pl,yourls.pl,https://yourls.pl/,shorteners,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited."", ""Landing-page response is a service-identification capture, not an artifact crawl.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
linkrutgon.net,linkrutgon.net,https://linkrutgon.net/,shorteners,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited."", ""Landing-page response is a service-identification capture, not an artifact crawl.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
easylinkref.com,easylinkref.com,https://easylinkref.com/,shorteners,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited."", ""Landing-page response is a service-identification capture, not an artifact crawl.""]",[],selected artifacts and existing public subsets; whole-site completeness not established
app.bitily.in,app.bitily.in,https://app.bitily.in/,shorteners,unspecified_prior_status,no_selected_agent_text_in_compilation,0,1,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
yourls.website,yourls.website,https://yourls.website/,shorteners,unspecified_prior_status,no_selected_agent_text_in_compilation,0,1,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json"", ""research-workspaces/chisinau/archive/community-repos/collusion-wiki-link-shorteners/raw_artifacts/shorteners/resolved_shortlinks.json"", ""research-workspaces/chisinau/archive/community-repos/collusion-wiki-link-shorteners/raw_artifacts/shorteners/yourls.website_wayback/links.csv""]",selected artifacts and existing public subsets; whole-site completeness not established
yourls.pro,yourls.pro,https://yourls.pro/,shorteners,unspecified_prior_status,no_selected_agent_text_in_compilation,0,1,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json"", ""research-workspaces/chisinau/archive/community-repos/collusion-wiki-link-shorteners/raw_artifacts/shorteners/resolved_shortlinks.json""]",selected artifacts and existing public subsets; whole-site completeness not established
rmn.re,rmn.re,https://rmn.re/,shorteners,unspecified_prior_status,no_selected_agent_text_in_compilation,0,4,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
go.stonybrook.edu,go.stonybrook.edu,https://go.stonybrook.edu/,shorteners,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]",[],selected artifacts and existing public subsets; whole-site completeness not established
2dd.pl,2dd.pl,https://2dd.pl/,shorteners,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/chisinau/archive/community-repos/collusion-wiki-link-shorteners/raw_artifacts/shorteners/resolved_shortlinks.json""]",selected artifacts and existing public subsets; whole-site completeness not established
ctxr.me,ctxr.me,https://ctxr.me/,shorteners,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited."", ""Landing-page response is a service-identification capture, not an artifact crawl.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/chisinau/archive/community-repos/collusion-wiki-link-shorteners/raw_artifacts/shorteners/resolved_shortlinks.json""]",selected artifacts and existing public subsets; whole-site completeness not established
yourls.space,yourls.space,https://yourls.space/,shorteners,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-workspaces/chisinau/archive/community-repos/collusion-wiki-link-shorteners/raw_artifacts/shorteners/yourls.space/links.csv""]",selected artifacts and existing public subsets; whole-site completeness not established
klikk.cc,klikk.cc,https://klikk.cc/,shorteners,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited."", ""Landing-page response is a service-identification capture, not an artifact crawl.""]",[],selected artifacts and existing public subsets; whole-site completeness not established
zapro.si,zapro.si,https://zapro.si/,shorteners,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited."", ""Landing-page response is a service-identification capture, not an artifact crawl.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
etherpad-backup.toolforge.org,etherpad-backup.toolforge.org,https://etherpad-backup.toolforge.org/,documents,public_metadata_or_listing,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""Did not collect all pad bodies; title-only negatives do not establish absence. Login-required backup creation was not used.""]","[""[local source reference]""]",selected artifacts and existing public subsets; whole-site completeness not established
etherpad.wikimedia.org,etherpad.wikimedia.org,https://etherpad.wikimedia.org/,documents,public_artifact_body_partial,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""TestMayActor11, TestNovActor55 and TestOctActor44 timed out. Most exports are current heads, so original creation dates and historical content are unverified. No secondary links were invoked.""]","[""research-workspaces/chisinau/archive/community-repos/just-one-more-bulletin-board/data/sources.jsonl"", ""research-workspaces/chisinau/archive/community-repos/just-one-more-bulletin-board/reports/links.md"", ""research-workspaces/chisinau/WRITEUP.md""]",selected artifacts and existing public subsets; whole-site completeness not established
rentry.org,rentry.org,https://rentry.org/,documents,search_only,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""No public site-wide listing or document body obtained; no private/unlisted ID enumeration.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/pastes/report.md"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/parallel20-discovery-20260905/14-shortform-publishing/report.md"", ""research-workspaces/chisinau/WRITEUP.md""]",selected artifacts and existing public subsets; whole-site completeness not established
liveweave.com,liveweave.com,https://liveweave.com/,documents,public_artifact_body_reused,responses_preserved_authorship_or_body_unresolved,0,1,1,0,False,"[""No source execution; no claim of agent identity from a storage link.""]","[""research-workspaces/cambridge/archive/liveweave/html-source.txt"", ""research-workspaces/cambridge/archive/liveweave/js-source.txt"", ""research-workspaces/cambridge/archive/liveweave/css-source.txt"", ""research-workspaces/brisbane/.context/research/uploads_search.md""]",selected artifacts and existing public subsets; whole-site completeness not established
Heyzine/CDN,heyzine.com,https://heyzine.com/,documents,public_artifact_body,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""HTML viewer capture only; no full PDF/media crawl. A reference to a document does not show that agents authored it.""]","[""research-workspaces/cambridge/archive/liveweave/html-source.txt"", ""research-workspaces/chisinau/archive/community-repos/just-one-more-bulletin-board/reports/links.md""]",selected artifacts and existing public subsets; whole-site completeness not established
Google Docs/viewer,docs.google.com,https://docs.google.com/,documents,search_only,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""No qualifying public document ID; source-fetching viewer endpoints can cause secondary requests and were not invoked.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/agent-workflow-20/15-public-document-links/report.md"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
pastelink.net,pastelink.net,https://pastelink.net/,documents,search_only,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""Target body was not present in the inspected evidence used here; no independent re-adjudication of its contents.""]","[""[local source reference]"", ""research-workspaces/cambridge/archive/prior/devbox-linuxiarz/raw/0b8d737a.txt""]",selected artifacts and existing public subsets; whole-site completeness not established
telegra.ph,telegra.ph,https://telegra.ph/,documents,unavailable,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""No target body captured in this pass; failed read is not proof of deletion.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/parallel20-discovery-20260905/14-shortform-publishing/report.md"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/parallel20-discovery-20260905/20-public-orphan-refs/report.md"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/coverage-and-new-leads-20260905/coverage-audit/hosts.json""]",selected artifacts and existing public subsets; whole-site completeness not established
jsfiddle.net,jsfiddle.net,https://jsfiddle.net/,documents,search_only,no_selected_agent_text_in_compilation,0,0,0,0,True,"[""One prior narrow query is not complete site coverage; no exact relevant public fiddle supplied.""]","[""[local source reference]"", ""research-workspaces/brisbane/.context/research/uploads_search_queries.json"", ""research-workspaces/brisbane/.context/research/uploads_search.md""]",selected artifacts and existing public subsets; whole-site completeness not established
justpaste.it,justpaste.it,https://justpaste.it/,documents,search_only,responses_preserved_authorship_or_body_unresolved,0,1,1,0,True,"[""Exclusion is cluster-specific, not a conclusion about all content on this host.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/coverage-and-new-leads-20260905/coverage-audit/hosts.json"", ""research-workspaces/chisinau/archive/digests/ghostarchive-index-sweep.md""]",selected artifacts and existing public subsets; whole-site completeness not established
codepen.io,codepen.io,https://codepen.io/,documents,search_only,no_selected_agent_text_in_compilation,0,1,1,1,True,"[""No site-wide or private pen enumeration; ordinary agent-related software is not incident evidence.""]","[""research-workspaces/brisbane/.context/research/uploads_search_queries.json"", ""research-workspaces/chisinau/archive/digests/ghostarchive-index-sweep.md""]",selected artifacts and existing public subsets; whole-site completeness not established
httpbin.org,httpbin.org,https://httpbin.org/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,1,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
nghttp2.org/httpbin,nghttp2.org,[operational URL omitted; host=nghttp2.org; sha256=6555d7efa8b3750306bcc5fbe0c7b7fea2377632e0f03667a3ec2f02ad293a80],relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]",[],selected artifacts and existing public subsets; whole-site completeness not established
ntfy.sh,ntfy.sh,https://ntfy.sh/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,2,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]",[],selected artifacts and existing public subsets; whole-site completeness not established
ntfy.envs.net,ntfy.envs.net,https://ntfy.envs.net/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,3,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]",[],selected artifacts and existing public subsets; whole-site completeness not established
api.counterapi.dev,api.counterapi.dev,https://api.counterapi.dev/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
countapi.mileshilliard.com,countapi.mileshilliard.com,https://countapi.mileshilliard.com/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,1,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
jqp.vercel.app,jqp.vercel.app,https://jqp.vercel.app/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
md.succ.ai,md.succ.ai,https://md.succ.ai/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,1,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
pure.md,pure.md,https://pure.md/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
markdown.new,markdown.new,https://markdown.new/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,8,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
allorigins.hexlet.app,allorigins.hexlet.app,https://allorigins.hexlet.app/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,2,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
r.jina.ai,r.jina.ai,https://r.jina.ai/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,2,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
Google Translate,translate.google.com,https://translate.google.com/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
api.microlink.io,api.microlink.io,https://api.microlink.io/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,4,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz""]",selected artifacts and existing public subsets; whole-site completeness not established
platform.lemino.ai,platform.lemino.ai,https://platform.lemino.ai/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz""]",selected artifacts and existing public subsets; whole-site completeness not established
pie.dev,pie.dev,https://pie.dev/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,2,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
httpbun.com,httpbun.com,https://httpbun.com/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,2,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-workspaces/chennai/.context/hunt-20260905/local/current-research/goal-host-sweep-20260905/coverage.json"", ""research-workspaces/chennai/.context/hunt-20260905/local/current-research/queued-host-pass-20260905/merged-coverage/coverage-overlay.json""]",selected artifacts and existing public subsets; whole-site completeness not established
httpbingo.org,httpbingo.org,https://httpbingo.org/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]",[],selected artifacts and existing public subsets; whole-site completeness not established
Pinggy,pinggy.io,https://pinggy.io/,relays,unspecified_prior_status,no_selected_agent_text_in_compilation,0,0,0,0,False,"[""Search covers the selected inherited text pack and tabular captures; no whole-service census."", ""Generic agent/round markers are triage only; copied investigator text is possible."", ""No shortened destination, administrative API, active counter, proxy payload or tunnel was visited.""]","[""research-collections/agent-trace-2026-09-04/sources/agent-text-pack.tar.gz""]",selected artifacts and existing public subsets; whole-site completeness not established
